,Name,Album,Artist,Language,Media_URL,Media_Image
69,Lifestyle (feat. Adam Levine),Lifestyle (feat. Adam Levine),Jason Derulo,English,https://aac.saavncdn.com/556/40849392b1dc61a06b56b2d009c734eb_320.mp4,https://c.saavncdn.com/556/Lifestyle-feat-Adam-Levine--English-2021-20210128043853-500x500.jpg
70,Lets Go Home Together,Lets Go Home Together (Luca Schreiner Remix),Ella Henderson,English,https://aac.saavncdn.com/636/d44b0fc91ee47790282f4ef2705f8901_320.mp4,https://c.saavncdn.com/636/Lets-Go-Home-Together-English-2021-20210223054127-500x500.jpg
71,Dancing On Dangerous (feat. Sofía Reyes),Dancing On Dangerous (feat. Sofía Reyes),Imanbek,English,https://aac.saavncdn.com/734/2e938e42d382153c4d3bf427b464a83b_320.mp4,https://c.saavncdn.com/734/Dancing-On-Dangerous-English-2021-20210329185449-500x500.jpg
72,Off My Face,Justice,Justin Bieber,English,https://aac.saavncdn.com/983/ce1d84357bb9b9bda6d06050299a1991_320.mp4,https://c.saavncdn.com/983/Justice-English-2021-20210325102906-500x500.jpg
73,Girl From Rio,Girl From Rio,Anitta,English,https://aac.saavncdn.com/681/c6325fa33c77e59d6d2ac3a9374511ac_320.mp4,https://c.saavncdn.com/681/Girl-From-Rio-English-2021-20220407122410-500x500.jpg
74,Treat People With Kindness,Fine Line,Harry Styles,English,https://aac.saavncdn.com/213/1660fc59a81ee7a91a3b2874c279eeb7_320.mp4,https://c.saavncdn.com/213/Fine-Line-English-2019-20191211223631-500x500.jpg
75,Medicine,Medicine,James Arthur,English,https://aac.saavncdn.com/382/752dd2b5955f1f2b47629501b3b324f9_320.mp4,https://c.saavncdn.com/382/Medicine-Tamil-2020-20200115230611-500x500.jpg
76,Starstruck,Starstruck,Years & Years,English,https://aac.saavncdn.com/974/1b93836d9e4bdd937ecb6cd1caba14b9_320.mp4,https://c.saavncdn.com/974/The-Fame-Revised-International-Version-2009-500x500.jpg
77,Hey Boy (feat. Burna Boy),Hey Boy (feat. Burna Boy),Sia,English,https://aac.saavncdn.com/645/27e10f85a89223391ae5439e5bc278fb_320.mp4,https://c.saavncdn.com/645/Hey-Boy-feat-Burna-Boy--English-2021-20210113234653-500x500.jpg
78,Deserve You,Justice,Justin Bieber,English,https://aac.saavncdn.com/983/0ace582fa8d6e5c910ceeaae1a4cad6c_320.mp4,https://c.saavncdn.com/983/Justice-English-2021-20210325102906-500x500.jpg
79,Higher (feat. iann dior),Higher (feat. iann dior),Clean Bandit,English,https://aac.saavncdn.com/336/51a45dab8b0c672d8eea90650137265a_320.mp4,https://c.saavncdn.com/336/Higher-feat-iann-dior--English-2021-20210126113858-500x500.jpg
